,year,Sum-CD,Sum-MWh, Weighted Annual_CD/MWh
0,2008,1238065431.0,500313526.543,2.474579169495217
1,2009,1321938754.0,541750969.3,2.440122545065468
2,2010,1408035458.0,577074704.066,2.4399535243516115
3,2011,1476917435.0,609349594.396,2.4237604301090103
4,2012,1824694377.0,773984012.526,2.357534971613776
5,2013,1708401812.0,727152725.9619999,2.3494401533595832
6,2014,1706901142.0,722379636.363,2.3628865711024445
7,2015,1994714093.0,862763706.362,2.3120051043999923
8,2016,2010367963.0,875511901.94,2.296220026872659
9,2017,1883986396.0,816070654.18,2.3086069647891674
10,2018,2074056997.0,915684082.3399998,2.2650355477402395
11,2019,2213285582.0,990619657.27,2.234243552262515
12,2020,2275596886.0,1024271485.3799999,2.2216735684638964
