,year,Sum-CD,Sum-MWh, Weighted Annual_CD/MWh
0,2008,545060956.0,83707020.55,6.51153215606836
1,2009,469000252.0,67996715.60000001,6.8973956736228
2,2010,516498168.0,78749726.49000001,6.5587296746432155
3,2011,543821464.0,83212347.49000001,6.535345779847797
4,2012,617288638.0,93028088.0,6.635508170392581
5,2013,485191682.0,72004941.44999999,6.7383109024109915
6,2014,387653378.0,60201014.37000001,6.439316381239905
7,2015,434851856.0,69285519.3,6.276230017373919
8,2016,481488871.0,77461487.00000001,6.215848541611393
9,2017,406868583.0,63579857.346,6.399331486162847
10,2018,483797562.0,76723541.0,6.30572514894744
11,2019,493887759.0,80440188.06000002,6.139813579645178
12,2020,507813187.0,81278950.0,6.247782322483251
