"Plant.Code","bogen","bogen_dom_fuel","general_mover","CD_january","CD_february","CD_march","CD_april","CD_may","CD_june","CD_july","CD_august","CD_september","CD_october","CD_november","CD_december","FuelHeat_january","FuelHeat_february","FuelHeat_march","FuelHeat_april","FuelHeat_may","FuelHeat_june","FuelHeat_july","FuelHeat_august","FuelHeat_september","FuelHeat_october","FuelHeat_november","FuelHeat_december","NetGen_january","NetGen_february","NetGen_march","NetGen_april","NetGen_may","NetGen_june","NetGen_july","NetGen_august","NetGen_september","NetGen_october","NetGen_november","NetGen_december","ThermalEfficiency_january","ThermalEfficiency_february","ThermalEfficiency_march","ThermalEfficiency_april","ThermalEfficiency_may","ThermalEfficiency_june","ThermalEfficiency_july","ThermalEfficiency_august","ThermalEfficiency_september","ThermalEfficiency_october","ThermalEfficiency_november","ThermalEfficiency_december","steamHeat_january","steamHeat_february","steamHeat_march","steamHeat_april","steamHeat_may","steamHeat_june","steamHeat_july","steamHeat_august","steamHeat_september","steamHeat_october","steamHeat_november","steamHeat_december","nomLoss_january","nomLoss_february","nomLoss_march","nomLoss_april","nomLoss_may","nomLoss_june","nomLoss_july","nomLoss_august","nomLoss_september","nomLoss_october","nomLoss_november","nomLoss_december","Exported_Heat_January","Exported_Heat_February","Exported_Heat_March","Exported_Heat_April","Exported_Heat_May","Exported_Heat_June","Exported_Heat_July","Exported_Heat_August","Exported_Heat_September","Exported_Heat_October","Exported_Heat_November","Exported_Heat_December","flag_HighTE_january","flag_HighTE_february","flag_HighTE_march","flag_HighTE_april","flag_HighTE_may","flag_HighTE_june","flag_HighTE_july","flag_HighTE_august","flag_HighTE_september","flag_HighTE_october","flag_HighTE_november","flag_HighTE_december","flag_ZeroFH_ZeroNetGen_january","flag_ZeroFH_ZeroNetGen_february","flag_ZeroFH_ZeroNetGen_march","flag_ZeroFH_ZeroNetGen_april","flag_ZeroFH_ZeroNetGen_may","flag_ZeroFH_ZeroNetGen_june","flag_ZeroFH_ZeroNetGen_july","flag_ZeroFH_ZeroNetGen_august","flag_ZeroFH_ZeroNetGen_september","flag_ZeroFH_ZeroNetGen_october","flag_ZeroFH_ZeroNetGen_november","flag_ZeroFH_ZeroNetGen_december","Flag_gen_no_fuel_january","Flag_gen_no_fuel_february","Flag_gen_no_fuel_march","Flag_gen_no_fuel_april","Flag_gen_no_fuel_may","Flag_gen_no_fuel_june","Flag_gen_no_fuel_july","Flag_gen_no_fuel_august","Flag_gen_no_fuel_september","Flag_gen_no_fuel_october","Flag_gen_no_fuel_november","Flag_gen_no_fuel_december","Flag_fuel_no_gen_january","Flag_fuel_no_gen_february","Flag_fuel_no_gen_march","Flag_fuel_no_gen_april","Flag_fuel_no_gen_may","Flag_fuel_no_gen_june","Flag_fuel_no_gen_july","Flag_fuel_no_gen_august","Flag_fuel_no_gen_september","Flag_fuel_no_gen_october","Flag_fuel_no_gen_november","Flag_fuel_no_gen_december"
3,"3^1","coal","ST",25222,243330,0,0,0,145216,92231,43852,259804,198797,0,0,39400.992,429996.568,0,0,0,238632.196,157464.772,67365.154,461989.062,348291.296,0,0,2770,39586,0,0,0,18986,13581,4522,43009,31565,0,0,0.239882990763278,0.314125702603282,0,0,0,0.271475899421384,0.294289781462993,0.229045673672772,0.317654120694312,0.309235976715307,0,0,35460.8928,386996.9112,0,0,0,214768.9764,141718.2948,60628.6386,415790.1558,313462.1664,0,0,788.01984,8599.93136,0,0,0,4772.64392,3149.29544,1347.30308,9239.78124,6965.82592,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,"3^2","other","ST",30,0,15871,136677,0,0,175956,0,147,79878,208513,262287,34.544,0,19784.111,231863.792,0,0,298141.698,0,167.28,130307.014,353690.982,459964.598,0,0,451,19743,0,0,25325,0,0,10197,30110,41759,0,0,0.0777833858696001,0.290540749976176,0,0,0.289836832887428,0,0,0.267012423291351,0.290478244084832,0.309779393630638,31.0896,0,17805.6999,208677.4128,0,0,268327.5282,0,150.552,117276.3126,318321.8838,413968.1382,0.69088,0,395.68222,4637.27584,0,0,5962.83396,0,3.3456,2606.14028,7073.81964,9199.29196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
3,"3^3","coal","ST",565635,37776,668939,382355,580189,232992,139573,211311,0,0,133443,0,1018525.408,60522.534,1213775.389,702107.874,1035889.937,413007.461,248213.626,358569.438,0,0,234094.236,0,96913,4538,116994,69021,97126,38234,23111,30548,0,0,21266,0,0.324666150910592,0.255843407349732,0.328891087080692,0.335431809927259,0.319925406940216,0.315877491520668,0.317702008591583,0.290694191064884,0,0,0.309971618609183,0,916672.8672,54470.2806,1092397.8501,631897.0866,932300.9433,371706.7149,223392.2634,322712.4942,0,0,210684.8124,0,20370.50816,1210.45068,24275.50778,14042.15748,20717.79874,8260.14922,4964.27252,7171.38876,0,0,4681.88472,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,"3^4","coal","ST",217917,468417,312866,326069,69714,1023557,1101950,1183397,1036191,179102,224043,315155,396582.344,879202.868,549276.711,583980.372,129253.167,1878117.052,1972842.204,2154848.162,1934751.98,317966.222,399116.17,573684.318,38416,89473,49970,55051,12904,184404,185859,208930,195308,29516,37274,55594,0.330525985897143,0.347239998107013,0.310416648631586,0.321657590128731,0.340651262804261,0.335022923033447,0.321453447708178,0.330834637340912,0.344446340414134,0.316740324197078,0.318664378744665,0.33066009512221,356924.1096,791282.5812,494349.0399,525582.3348,116327.8503,1690305.3468,1775557.9836,1939363.3458,1741276.782,286169.5998,359204.553,516315.8862,7931.64688,17584.05736,10985.53422,11679.60744,2585.06334,37562.34104,39456.84408,43096.96324,38695.0396,6359.32444,7982.3234,11473.68636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,"3^5","coal","ST",369767,1793,1960603,834566,564082,2318245,2329556,2284524,2048487,2054447,2288230,1493332,678156.596,2037.051,3580731.119,1462388.758,1038841.799,4313705.004,4393387.912,4207231.134,3813623.94,3819109.73,4219162.164,2764218.083,66533,0,348898,132572,102608,433123,450359,415545,383207,382875,417536,275258,0.334760307514579,0,0.332470878755194,0.309325561760097,0.337022308360159,0.342600226916212,0.349772883487644,0.337014457047893,0.342864412839825,0.342075298920516,0.337671611486323,0.33977739958226,610340.9364,1833.3459,3222658.0071,1316149.8822,934957.6191,3882334.5036,3954049.1208,3786508.0206,3432261.546,3437198.757,3797245.9476,2487796.2747,13563.13192,40.74102,71614.62238,29247.77516,20776.83598,86274.10008,87867.75824,84144.62268,76272.4788,76382.1946,84383.24328,55284.36166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7,"7^1","gas","ST",73993,94317,128064,142086,134552,133998,161562,199699,177774,24351,91395,113706,115279.38,149282.238,201813.538,227565.3,213928.377,210332.104,254709.942,318535.392,278014.16,45452.83,145344.393,177316.61,8046,10859,14517,17049,15740,14975,18342,23626,19601,4586,10700,12407,0.238152551132735,0.248203863744326,0.245444566657367,0.255634645791779,0.251051704094404,0.242933891347371,0.245712716938234,0.253080887288029,0.240568164369757,0.344270621653261,0.251195778842325,0.23875045310194,103751.442,134354.0142,181632.1842,204808.77,192535.5393,189298.8936,229238.9478,286681.8528,250212.744,40907.547,130809.9537,159584.949,2305.5876,2985.64476,4036.27076,4551.306,4278.56754,4206.64208,5094.19884,6370.70784,5560.2832,909.0566,2906.88786,3546.3322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,"7^2","other","ST",77613,12666,8029,0,38701,0,0,0,141997,123391,81587,0,119884.98,16739.127,11764.48,0,58235.444,0,0,0,219096.382,203431.974,127410.264,0,8173,605,681,0,3677,0,0,0,14891,16304,8949,0,0.232618132980462,0.123324513876978,0.197515516197911,0,0.215443343747839,0,0,0,0.23190787668963,0.273465028462045,0.23966076123977,0,107896.482,15065.2143,10588.032,0,52411.8996,0,0,0,197186.7438,183088.7766,114669.2376,0,2397.6996,334.78254,235.2896,0,1164.70888,0,0,0,4381.92764,4068.63948,2548.20528,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,"8^5","coal","ST",1324778,2250882,730936,795980,8321,718704,2276895,2371065,1205127,0,0,85056,2437433.342,4300980,1327190.274,1431657.86,9455.4,1294640.91,4313387.754,4462075.348,2247327.35,0,0,106553.148,240376,449584,128075,135955,0,123265,445160,455909,226413,0,0,2553,0.336500100538955,0.356673025626718,0.329274437178403,0.324028182054615,0,0.324875750373129,0.352147390642404,0.348632690830124,0.343765163459609,0,0,0.081754444458084,2193690.0078,3870882,1194471.2466,1288492.074,8509.86,1165176.819,3882048.9786,4015867.8132,2022594.615,0,0,95897.8332,48748.66684,86019.6,26543.80548,28633.1572,189.108,25892.8182,86267.75508,89241.50696,44946.547,0,0,2131.06296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8,"8^1","coal","ST",0,0,0,0,0,0,67377,82419,0,0,126575,157217,0,0,0,0,0,0,111794.172,136935.708,0,0,201486.419,258597.035,0,0,0,0,0,0,9086,11162,0,0,14869,20618,0,0,0,0,0,0,0.277319501413723,0.278132761981995,0,0,0.251804116187106,0.272050692769931,0,0,0,0,0,0,100614.7548,123242.1372,0,0,181337.7771,232737.3315,0,0,0,0,0,0,2235.88344,2738.71416,0,0,4029.72838,5171.9407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,"8^2","coal","ST",0,0,0,0,0,0,83276,97572,0,286294,274764,0,0,0,0,0,0,0,129112.414,156381.402,0,473887.79,466063.007,0,0,0,0,0,0,0,8893,11736,0,38314,39675,0,0,0,0,0,0,0,0.235021250706381,0.256071850794636,0,0.275872758738941,0.290468568555582,0,0,0,0,0,0,0,116201.1726,140743.2618,0,426499.011,419456.7063,0,0,0,0,0,0,0,2582.24828,3127.62804,0,9477.7558,9321.26014,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
