month,gen_type,year,thermal_efficiency-Weighted_average_across_all_bogens,boiler_efficiency,CD/MWh-Weighted_average_across_all_bogens,date
January,NA^ST,2008,0.32533771745653445,0.0,6.866240058184307,2008-01-01
February,NA^ST,2008,0.32533771658191024,0.0,6.8662400858158925,2008-02-01
March,NA^ST,2008,0.32533771980055204,0.0,6.866239984130871,2008-03-01
April,NA^ST,2008,0.32533772263439287,0.0,6.866239894602685,2008-04-01
May,NA^ST,2008,0.3253377154262615,0.0,6.866240122325756,2008-05-01
June,NA^ST,2008,0.32533771956645274,0.0,6.866239991526658,2008-06-01
July,NA^ST,2008,0.32533772086764684,0.0,6.866239950418651,2008-07-01
August,NA^ST,2008,0.3253377189599252,0.0,6.866240010688396,2008-08-01
September,NA^ST,2008,0.32533772396878735,0.0,6.866239852445796,2008-09-01
October,NA^ST,2008,0.32533771688892515,0.0,6.866240076116517,2008-10-01
November,NA^ST,2008,0.3253377187308847,0.0,6.866240017924363,2008-11-01
December,NA^ST,2008,0.325337717198809,0.0,6.866240066326505,2008-12-01
January,NA^ST,2009,0.3253377183976684,0.0,6.866240028451507,2009-01-01
February,NA^ST,2009,0.3253377202487361,0.0,6.866239969971606,2009-02-01
March,NA^ST,2009,0.32533771936835126,0.0,6.8662399977851845,2009-03-01
April,NA^ST,2009,0.32533771672224093,0.0,6.866240081382493,2009-04-01
May,NA^ST,2009,0.3253377189529374,0.0,6.866240010909157,2009-05-01
June,NA^ST,2009,0.32533771981780524,0.0,6.866239983585799,2009-06-01
July,NA^ST,2009,0.32533772046847487,0.0,6.866239963029503,2009-07-01
August,NA^ST,2009,0.3253377181543916,0.0,6.866240036137235,2009-08-01
September,NA^ST,2009,0.3253377185773747,0.0,6.866240022774132,2009-09-01
October,NA^ST,2009,0.3253377184431397,0.0,6.866240027014954,2009-10-01
November,NA^ST,2009,0.32533772007489725,0.0,6.866239975463613,2009-11-01
December,NA^ST,2009,0.3253377181367265,0.0,6.866240036695321,2009-12-01
January,NA^ST,2010,0.3262397940181904,0.0,6.837819983069114,2010-01-01
February,NA^ST,2010,0.3262397940323575,0.0,6.837819982624014,2010-02-01
March,NA^ST,2010,0.3262397936225589,0.0,6.837819995499087,2010-03-01
April,NA^ST,2010,0.3262397932248448,0.0,6.837820007994491,2010-04-01
May,NA^ST,2010,0.32623979335627507,0.0,6.837820003865208,2010-05-01
June,NA^ST,2010,0.3262397936083109,0.0,6.837819995946733,2010-06-01
July,NA^ST,2010,0.32623979166276745,0.0,6.837820057071924,2010-07-01
August,NA^ST,2010,0.32623979229260675,0.0,6.837820037283596,2010-08-01
September,NA^ST,2010,0.32623979505529793,0.0,6.837819950485212,2010-09-01
October,NA^ST,2010,0.32623979216457316,0.0,6.8378200413061645,2010-10-01
November,NA^ST,2010,0.3262397909340278,0.0,6.837820079967508,2010-11-01
