month,gen_type,year,thermal_efficiency-Weighted_average_across_all_bogens,boiler_efficiency,CD/MWh-Weighted_average_across_all_bogens,date
January,biomass^ST,2008,0.1959692599985426,0.7815963944251212,9.84862304177703,2008-01-01
February,biomass^ST,2008,0.19473382006827739,0.781596394425121,9.932757835630406,2008-02-01
March,biomass^ST,2008,0.18295995950814592,0.7815963944251207,10.791519520904107,2008-03-01
April,biomass^ST,2008,0.1955145487074015,0.7815963944251211,9.87946724314013,2008-04-01
May,biomass^ST,2008,0.1906547536428892,0.7815963944251209,10.218268151864718,2008-05-01
June,biomass^ST,2008,0.19880400431700776,0.781596394425121,9.65954462659073,2008-06-01
July,biomass^ST,2008,0.19563982126932303,0.781596394425121,9.8709514381521,2008-07-01
August,biomass^ST,2008,0.19332212816909086,0.7815963944251209,10.030200344472826,2008-08-01
September,biomass^ST,2008,0.19557289020799476,0.7815963944251211,9.875503560053023,2008-09-01
October,biomass^ST,2008,0.19493071886428304,0.781596394425121,9.919273411855883,2008-10-01
November,biomass^ST,2008,0.1978407414907861,0.7815963944251212,9.723190015601086,2008-11-01
December,biomass^ST,2008,0.1952984181070816,0.781596394425121,9.894177616913614,2008-12-01
January,biomass^ST,2009,0.19843842981541662,0.781596394425121,9.683623835521761,2009-01-01
February,biomass^ST,2009,0.19647611740089505,0.7815963944251209,9.814417106417855,2009-02-01
March,biomass^ST,2009,0.19739933257413703,0.781596394425121,9.75255783567118,2009-03-01
April,biomass^ST,2009,0.19811239351479562,0.7815963944251212,9.705174636354583,2009-04-01
May,biomass^ST,2009,0.18917062778603475,0.7815963944251209,10.325202129307831,2009-05-01
June,biomass^ST,2009,0.19241385712914996,0.7815963944251212,10.09365325150188,2009-06-01
July,biomass^ST,2009,0.1907521566667838,0.7815963944251211,10.211306080444484,2009-07-01
August,biomass^ST,2009,0.19191083919213078,0.781596394425121,10.129053996328224,2009-08-01
September,biomass^ST,2009,0.19220998191189184,0.781596394425121,10.107980227282136,2009-09-01
October,biomass^ST,2009,0.19307465062704077,0.781596394425121,10.047430764664954,2009-10-01
November,biomass^ST,2009,0.19417086215848828,0.781596394425121,9.971446164431915,2009-11-01
December,biomass^ST,2009,0.19682048354423615,0.7815963944251211,9.791277187376537,2009-12-01
January,biomass^ST,2010,0.19648302391944916,0.781596394425121,9.813953540034115,2010-01-01
February,biomass^ST,2010,0.19376283276628867,0.781596394425121,9.99962609400413,2010-02-01
March,biomass^ST,2010,0.19078573489714498,0.7815963944251212,10.208908989316345,2010-03-01
April,biomass^ST,2010,0.18708207247495073,0.7815963944251209,10.478562565764657,2010-04-01
May,biomass^ST,2010,0.19027424903852375,0.781596394425121,10.245522055637483,2010-05-01
June,biomass^ST,2010,0.19312492293181058,0.7815963944251211,10.043926212123102,2010-06-01
July,biomass^ST,2010,0.196777597311693,0.7815963944251211,9.79415274688251,2010-07-01
