"Plant.Code","CD_january","CD_february","CD_march","CD_april","CD_may","CD_june","CD_july","CD_august","CD_september","CD_october","CD_november","CD_december","percentAllocation","cooling"
3,1497590,1381468,1504179,940696,1473680,1553773,1565593,1644990,1553284,1501592,1426845,754928,100,"tower"
26,1227433,2282404,1703891,2141623,2559345,304128,425245,2730734,2230043,285199,620615,802,100,"tower"
51,1857,0,182676,0,618437,1467107,1756456,1934265,2072377,162416,10792,0,100,"tower"
56,725999,98592,236309,428772,462675,682911,962133,533515,535214,740093,710156,96973,100,"tower"
59,342197,314876,291689,84487,378792,298518,353610,333429,218921,202909,259428,281827,100,"tower"
60,2257486,1982449,2080521,1448931,942693,1605097,2136621,2088744,1812630,879257,1217460,1941662,100,"tower"
87,674331,610005,639855,157659,6346,320306,612269,606771,643371,641405,631184,662668,100,"tower"
108,544790,822541,317191,89807,877445,843911,974358,1038939,821532,845842,886981,948229,100,"tower"
113,1267889,1614573,605484,643091,546591,1017599,1938496,1993537,1633113,1648216,1820951,2271773,100,"tower"
117,575792,304843,892741,666966,342545,861837,1145598,1239711,844940,1057462,569022,1038395,100,"tower"
120,163857,150959,301,93288,155519,137821,110840,146523,140069,148424,150165,173301,100,"tower"
126,289723,247283,580044,851747,786864,1044243,1304352,1297894,938420,924027,663978,593528,100,"tower"
127,1799939,1409118,1472546,417010,1608278,1651778,1756127,1503281,1605825,995601,0,0,100,"tower"
130,4993053,2833518,3355837,2609486,3705320,4087256,4925660,4845396,4617538,3435003,3998320,3169275,100,"tower"
136,3704736,2812729,2164146,2555192,3717383,3581018,3470288,3723136,3340034,3776793,2122231,2240759,100,"tower"
141,0,0,1938,41000,59,121434,374119,436257,228539,112230,95881,29246,100,"tower"
147,220121,251311,321772,122654,189520,310785,333838,345992,349668,366138,359674,161856,100,"tower"
160,721502,928600,870267,527025,754933,1251538,1348970,1460920,1145960,1058291,850525,1068406,100,"tower"
165,487754,420699,600747,499169,168140,571854,874563,441833,457903,160501,436891,436994,100,"tower"
201,12346.35,3597.9,0,2511.3,21302.1,20074.5,17632.65,17741.85,15512.55,4536.75,23694,8677.2,15,"tower"
298,2928994,3174668,3128393,3010808,4991324,4084799,4419007,4312856,3478824,4043663,2685281,3405414,100,"tower"
358,218901,896287,506569,378741,126846,194514,797138,1180630,830447,732396,1331494,789111,100,"tower"
377,135,6066,0,0,0,1120,68337,110971,111134,114713,100750,41926,100,"tower"
384,18891,0,0,122773.8,66112.8,241050,692581.5,559907.1,455571,158206.2,51721.8,79503.9,30,"tower"
389,7735,8967,130731,129509,76801,198240,410137,469061,297589,104577,87560,0,100,"tower"
408,418030,463906,687386,721383,69916,38190,179894,441262,289604,417197,702927,714932,100,"tower"
422,4433,7007,8994,7152,14729,7667,16896,13538,9429,5303,11476,3139,100,"tower"
469,1475154,817813,654261,663226,1241531,812980,1580140,1507265,998120,1220527,675858,675770,100,"tower"
470,1595255.13,738649.17,813501.36,1181646.9,1461198.69,1364878.62,894302.01,1480658.76,1333769.85,1383347.07,1248540.3,1500084.81,63,"tower"
470,2358572,2084029,2111182,1584222,1646548,1948524,2091859,2242053,1847692,1845948,1847050,2368085,100,"tower"
492,581634,622677,737426,336428,176135,272979,335786,353416,585655,455672,218437,264356,100,"tower"
493,0,2,1224,2,3,8312,53078,34931,4,6877,3,11,100,"tower"
525,1402787,1268612,1552491,1361655,1222828,1208851,1301475,1359384,1162014,1027035,1236541,1213072,100,"tower"
527,3519,2535,2402,967,286,73,219022,338098,96049,0,0,0,100,"tower"
533,859186,755271,778140,351028,879469,856747,945229,965938,833529,518359,369842,908831,100,"tower"
