"Plant design conditions from EIA 860 report. User parameters (Min T,Min approach, and Max approach) specifies consitions used in model calculations",,,,,,,,,,,,
Days in month,,,,,,,,,,,,
Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,design
31,28,31,30,31,30,31,31,30,31,30,31,30
Min T,Min approach,max approach,,,,,,,,,,
4.44444,5,15,,,,,,,,,,
Plant Characteristics,,,DC,,,,,,,,,
Plant_ID,Elevation,Pond_Area,Tdb,Twb,nwT,,,,,,,
51,245,0,89.62050661,79,30.49,,,,,,,
59,1870,0,88.02768518,74.99079651,30.49,,,,,,,
60,1890,0,88.07506764,75.00073091,30.49,,,,,,,
87,6890,0,79.3757684,62.51768759,30.49,,,,,,,
108,2920,0,88.30561281,70.90968836,30.49,,,,,,,
116,1180,0,96.68488697,75.06482624,30.49,,,,,,,
117,1060,0,96.65957508,75.28778524,30.49,,,,,,,
118,1910,0,89.86287489,72.21999983,30.49,,,,,,,
120,121,0,95.17238764,77.85301666,30.49,,,,,,,
126,2610,0,87.78565693,71.2098752,30.49,,,,,,,
127,1230,0,91.14378078,76.39770714,30.49,,,,,,,
130,80,0,87.83979351,78.42682415,30.49,,,,,,,
136,80,0,88.33952764,79,30.49,,,,,,,
141,1140,0,96.3335461,75.30324108,30.49,,,,,,,
147,1190,0,96.59249497,75.02244662,30.49,,,,,,,
160,4200,0,85.60070051,70.11482179,30.49,,,,,,,
165,620,0,89.96800465,77.7259636,30.49,,,,,,,
169,300,0,90,79,30.49,,,,,,,
207,10,0,87.26568437,79.35336055,30.49,,,,,,,
286,2704,0,92.93287316,69.62631685,30.49,,,,,,,
298,460,0,90.29513098,78.5727703,30.49,,,,,,,
299,6059,0,81.34181059,62.59179305,30.49,,,,,,,
329,1960,0,94.78574029,70.81112157,30.49,,,,,,,
331,1110,0,91.55720386,72.71795745,30.49,,,,,,,
358,1110,0,93.26854717,72.72050387,30.49,,,,,,,
371,450,0,92.46742551,66.82453838,30.49,,,,,,,
377,470,0,80.61977058,70.38175943,30.49,,,,,,,
389,-50,0,95.55687402,78.66373602,30.49,,,,,,,
408,920,0,80.61144929,70.38132411,30.49,,,,,,,
420,750,0,81.02201726,70.53264165,30.49,,,,,,,
462,5354,0,81.30577087,64.3078087,30.49,,,,,,,
465,5270,0,79.81025911,62.90512956,30.49,,,,,,,
469,5140,0,79.85626369,62.92813185,30.49,,,,,,,
478,5202,0,79.8286781,62.91433905,30.49,,,,,,,
492,5960,0,79.59423103,63.0934637,30.49,,,,,,,
493,6175,0,79.54872247,63.06505882,30.49,,,,,,,
508,3621,0,86.57609078,67.98420696,30.49,,,,,,,
510,2494,0,92.93826488,69.62954173,30.49,,,,,,,
525,6520,0,77.71034752,60.67067475,30.49,,,,,,,
