Plant.Code,Elevation,pond_area,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Tdb,Twb,nwT
3,15,1000000,1533670,1401306,936809,571714,1175142,1438595,1499686,1495270,716248,849481,1361800,1299304,9.71,9.13,17.97,21.45,23.97,27.06,28.75,27.75,25.5,21.01,17.66,16.22,7.1,6.52,15.28,19.06,20.78,23.68,24.91,23.97,21.9,17.65,15.47,14.8,10,10.6,15,20.2,24.2,28.9,31.6,32.1,29.9,23.8,19.3,16,7.7,8.7,7.2,6.6,6.4,5.3,4.9,5.5,5.6,7.4,7.6,7.7,88,79.23434637,30.49
26,400,1000000,2494496,2240407,2214199,928888,2779928,2780582,2673666,2248078,2461010,2757437,2422285,1718343,6.27,4.83,14.26,18.97,22.3,26.36,27.5,26.42,24.01,18.58,15.28,13.87,3.5,1.74,11.25,15.57,18.38,22.16,23.63,22.1,20.05,14.84,12.36,11.65,8.3,9,13.4,18.3,21.7,27.2,29.3,29.2,27,21.5,15.9,14.7,5.5,6.6,5.2,5.3,4,3.9,4,4,3.5,4.5,4.8,5.3,87.95895648,77.7465998,30.49
46,575,67070,3504708,3161618,2741432,2848885,3363834,3288238,3369991,3344925,3171281,3467028,3138070,3100469,5.16,2.01,12.43,17.13,21.2,26.34,27.36,24.95,22.62,16.93,13.8,11.88,1.98,-0.2,9.65,14.48,17.77,21.84,23.39,21.32,19.19,13.64,11.21,10.17,7.8,6.6,10.8,17.6,21.3,28.3,29.4,28.4,24.8,20.9,15.9,16.8,6.6,7.9,6.5,7.1,5.8,5.4,5,4.4,4.2,5.8,6.6,7.3,87.36454498,77.36454498,30.49
46,575,67070,17523539,15808092,13707160,14244425,16819168,16441191,16849955,16724624,15856406,17335140,15690350,15502346,5.16,2.01,12.43,17.13,21.2,26.34,27.36,24.95,22.62,16.93,13.8,11.88,1.98,-0.2,9.65,14.48,17.77,21.84,23.39,21.32,19.19,13.64,11.21,10.17,7.8,6.6,10.8,17.6,21.3,28.3,29.4,28.4,24.8,20.9,15.9,16.8,6.6,7.9,6.5,7.1,5.8,5.4,5,4.4,4.2,5.8,6.6,7.3,87.36454498,77.36454498,30.49
51,245,1000000,2697560,2072057,1996864,93822,2154551,2552265,2681915,2422477,2595208,1822137,2452972,2224857,7.25,7.23,14.1,20.03,23.48,27.56,29.42,28.93,26.81,21.15,15.86,13.54,4.34,4.47,11.88,16.82,20.17,23.24,24.37,22.63,21.03,15.95,13.03,11.22,9.5,11,15.3,21.3,24.3,27.8,29.9,29.2,27.3,23.1,18.6,14.2,6.6,7.7,6.4,8,7.3,6.5,7.4,5.5,4.8,6.1,6.3,7.2,89.62050661,79,30.49
56,40,1000000,725248,871166,768416,295802,732605,1306453,1446288,1364314,693303,738978,597555,730823,9.93,8.53,17.67,21.22,23.79,26.98,28.67,27.66,25.28,20.53,17.32,15.88,6.88,5.83,14.8,18.53,20.17,23.3,24.63,23.62,21.59,17.11,14.99,14.17,8.9,10,12.7,19.1,23.8,27.2,29.5,31.1,28.9,23.6,18.8,15.5,6.8,8,6.6,6.1,5.6,4.8,4.4,5,5.1,6.7,6.6,6.9,88.60964614,79,30.49
59,1870,1000000,312211,293206,297757,127825,276848,307135,326931,276419,276712,238609,211266,278219,-2.31,-4.35,6.54,11.33,15.05,21.95,24.19,22.34,21.57,13.67,5.28,0.14,-4.69,-6.16,1.79,7.38,11.82,18.21,20.24,18.37,17.02,8.93,3.16,-1.36,0.9,1.4,7.9,13.5,17,23.3,26.3,24.3,22,14.2,8.3,2.7,11.5,11.3,10.6,11.9,11.1,9.2,7.8,8.9,10.5,9.4,11.9,11.7,88.02768518,74.99079651,30.49
60,1890,1000000,753244,722144,238611,591944,859002,754378,939484,888125,766624,461658,337599,321348,-1.82,-3.97,6.8,11.68,15.39,22.22,24.36,22.52,22,14.08,4.13,0.55,-4.44,-5.88,1.99,7.7,12.13,18.48,20.46,18.6,17.23,9.08,3.42,-1.13,1.2,1.7,8,13.6,16.9,23.2,26,24.1,21.9,14.4,8.5,3.2,11.1,11,10.1,11.7,11,9.1,7.6,8.4,10.1,9,11.3,11.3,88.07506764,75.00073091,30.49
87,6890,1000000,318331,677869,737969,686977,721674,722377,732125,739060,690422,671299,465125,653927,1.42,4.62,8.59,10.25,13.5,21.41,22.3,22.92,19.59,12.94,4.18,-0.72,-1.28,0.15,2.63,3.29,7.2,12.32,14.63,14.15,11.54,7.69,-0.08,-3.86,5.2,7.7,10.4,13.1,14.6,18,22.2,20.8,19.4,15.9,9.2,6.2,4.7,6.9,6.7,9.5,8.8,7.2,6.5,6.4,5.9,6.2,7.3,6.9,79.3757684,62.51768759,30.49
96,85,1000000,51732,47426,50374,0,0,0,0,0,0,0,0,0,-6.92,-4.25,-1.28,4.9,10.49,15.49,16.55,15.27,8.39,5.03,-4.28,-5.61,-7.73,-5.7,-3.56,1.72,7.18,11.07,12.77,11.26,6.58,3.7,-5.22,-6.97,0.2,0.2,0.3,1.7,6.7,10.8,11.6,11.4,7.5,4.5,0.5,0.3,3.6,5.1,4.8,5.9,5.3,6.3,5.1,5.6,4.4,3.4,5,4.2,65.25159584,58.31347111,30.49
96,85,1000000,258662,237132,251870,0,0,0,0,0,0,0,0,0,-6.92,-4.25,-1.28,4.9,10.49,15.49,16.55,15.27,8.39,5.03,-4.28,-5.61,-7.73,-5.7,-3.56,1.72,7.18,11.07,12.77,11.26,6.58,3.7,-5.22,-6.97,0.2,0.2,0.3,1.7,6.7,10.8,11.6,11.4,7.5,4.5,0.5,0.3,3.6,5.1,4.8,5.9,5.3,6.3,5.1,5.6,4.4,3.4,5,4.2,65.25159584,58.31347111,30.49
108,2920,1000000,1026578,858924,1001036,713482,87484,913455,1071121,1027640,497033,7547,4156,945870,0.84,0.86,8.29,12.53,15.55,24.53,25.58,24.43,23.34,15.08,6.52,2.11,-2.31,-2.37,3.41,7.71,11.77,18.52,19.74,18.62,16.44,10.05,2.91,-0.73,3.4,4.9,10.5,14.4,17.2,23.1,24.7,22,20.2,15,8.2,4.5,11,11.8,10.9,13.8,12.9,11,10.5,10.3,11.5,11.6,12.5,12.3,88.30561281,70.90968836,30.49
113,5030,360,2666381,1590499,3106185,2491677,2952114,3166322,3650131,3471514,3471858,2509662,1325728,1774299,2.94,7.63,10.03,11.72,14.9,23.41,23.84,24.41,21.06,14.67,5.2,1.21,0.18,2.28,3.7,4.12,7.68,13.04,15.59,16.1,13.37,9.28,0.68,-2.38,7.2,9.8,11.9,14.5,16,18.3,21.3,20.7,20,16.9,11.4,7.8,4.4,7.2,6.7,9.1,8.9,7.5,7.3,6.7,5.8,5.9,6.9,7.4,79.83059638,63.58809891,30.49
116,1180,1000000,51067,25827,35415,43555,0,122059,35500,121101,79054,43335,55187,63191,9.07,13.02,15.21,16.65,19.27,28.38,27.51,28.36,25.27,18.64,11,6.79,4.21,6.47,7.33,7.16,9.81,15.36,18.07,18.82,17.16,12.91,4.87,1.8,9.9,12.5,14,16.9,18.3,18.9,22.1,21.3,20.5,19.3,12.9,9,3.9,4.5,5.4,6.3,6.5,6.6,7.2,6.2,5.5,5.2,4.7,4.1,96.68488697,75.06482624,30.49
117,1060,1000000,251886,210215,207640,291326,97031,512283,551683,849341,926029,723189,755753,844500,7.21,11.42,13.51,14.94,17.6,26.74,26.06,27.06,23.89,17.97,8.98,5.16,2.98,5.12,6.1,6.06,9.01,14.47,17.08,18,15.92,11.71,3.34,0.49,10,12.7,14,16.9,18,18.9,22,21.3,20.5,19.1,13,9.1,3.7,4.3,5.2,6.1,6.3,6.4,7,6.1,5.3,5.1,4.6,4,96.65957508,75.28778524,30.49
120,121,1000000,31959,118561,148457,189909,178721,116059,152387,138792,117698,146423,146563,186165,13.39,16.98,19.59,20.19,21.79,29.91,30.36,33.23,30.27,24.95,15.24,11.13,7.66,10.04,11.19,10.99,13.56,17.84,19.44,20.37,19.9,16.01,7.54,5.25,12.2,15.2,14.9,17.3,17,19,22.1,21.3,21.3,18,15.3,11.9,6.1,5.9,6.5,7.6,8.1,8.1,8,8.4,6.7,6.5,7.4,7,95.17238764,77.85301666,30.49
126,2610,1000000,216719,166582,246258,229598,182083,387371,391470,639177,245031,342934,307361,284043,12.57,16.31,18.53,20.04,22.44,32.03,30.07,31.01,27.65,22.62,14.74,10.56,6.84,9.23,9.56,9.21,11.35,17.02,19.97,20.49,19.15,14.91,7.15,4.2,10.2,12.9,14.2,16.6,17.8,18.9,22.3,22.2,21.6,18.8,13,9.2,7.4,7.1,7.3,8,7.7,7.7,7.3,7.3,6.5,7.2,7.2,6.4,87.78565693,71.2098752,30.49
127,1230,1000000,1469130,1354021,5074,0,1398108,1152538,1150176,1458409,1124916,1075598,1024205,837009,4.77,5.13,11.86,17.13,20.09,26.75,28.93,28.32,26.5,18.93,11.66,8.14,1.3,1.64,8.48,13.8,17.07,21.52,22.84,21.32,19.77,13.37,8.55,4.9,6,8.6,14.3,19.1,21.4,26.4,28.3,27.2,25.2,20,13.9,8.5,9.7,11.1,8.9,11.6,10.6,9.8,10,9,9.4,9,10.9,10.2,91.14378078,76.39770714,30.49
130,80,1000000,4882062,5584007,3724060,2156328,3884643,5244463,5430033,4966555,3572521,3472004,3005414,2147366,8.23,6.68,14.99,19.45,22.79,27.89,28.55,27.31,25.03,18.92,16.29,16.74,4.93,3.34,11.52,15.86,18.6,22.83,23.69,23.03,21.37,15.91,13.52,14.15,10,8.7,13.2,19.5,23.9,29.1,29.8,29.4,26.7,21,17.9,15.3,6.8,8.3,7.6,7.5,6.6,6.7,6.2,5.5,6.5,6.7,6,6.1,87.83979351,78.42682415,30.49
136,80,1000000,3212620,2567409,1872720,2588264,3718379,3884605,3784514,3707990,3648851,3755019,3491672,3802935,13.28,12.26,19.99,23.7,25.74,28.62,29.21,28.53,26.99,23.35,20.79,20.43,10.24,9.18,16.32,19.62,20.4,23.14,24.26,24.38,23.41,19.46,18.74,17.45,15.8,14.5,20.7,24.2,26.2,29.4,29.9,29.6,27.5,24.5,23.3,20.4,7.6,8.5,7.3,6.9,7.4,6.2,6.5,5.6,6.3,7.4,7,7,88.33952764,79,30.49
141,1140,1000000,1486,6710,11485,4344,22,237313,90119,312521,66196,22766,13,12315,6.97,11.19,13.26,14.67,17.33,26.45,25.83,26.84,23.69,17.74,8.71,4.91,2.8,4.92,5.93,5.9,8.88,14.33,16.92,17.87,15.76,11.55,3.16,0.32,10,12.6,14,16.9,18.1,19,22,21.3,20.5,19.1,13,9.1,3.4,3.9,4.8,5.8,6,6,6.6,5.8,5,4.9,4.2,3.9,96.3335461,75.30324108,30.49
147,1190,1000000,0,8322,100213,239477,114958,292828,274347,278924,277885,257518,44073,187019,9.17,13.13,15.33,16.77,19.39,28.51,27.61,28.46,25.36,18.74,11.13,6.9,4.29,6.56,7.4,7.24,9.87,15.43,18.15,18.88,17.23,12.99,4.95,1.88,9.9,12.6,14,16.9,18.2,18.8,22.1,21.3,20.6,19.2,13,9.1,3.9,4.5,5.4,6.3,6.5,6.6,7.2,6.3,5.5,5.2,4.7,4.1,96.59249497,75.02244662,30.49
160,4200,1000000,1139667,888595,730333,584049,646193,1144597,1227388,1235647,1057163,1047231,819339,897623,10.06,14.25,16.13,17.79,20.41,29.18,27.89,28.55,25.56,19.5,13.12,8.75,4.89,7.46,8.06,7.96,10.13,15.93,18.86,19.16,17.75,13.6,6.19,2.93,9.6,12.4,13.9,16.3,18.9,19.9,22.8,22.9,21.8,18.7,12.7,9,6.8,6.9,7.2,8.1,8.3,7.7,7.4,7.1,5.8,6.8,7.1,6.6,85.60070051,70.11482179,30.49
165,620,1000000,2108788,2156091,2350472,1585908,2806593,2968766,2988113,3273989,2411696,1344364,815685,1284657,3.13,1.85,11.01,16.69,19.56,26.6,28.4,25.79,24.3,17.12,11.07,7.61,0.25,-1.07,7.73,13.13,16.81,22.31,24.06,21.36,20.05,12.9,8.47,5.37,6.5,6.3,11,16.3,18.7,23.8,26.5,25.4,23.5,18.7,13.6,9.5,7.3,8.8,7.1,9.1,8.5,7.8,7.2,5.8,6.6,6.5,8.8,8.5,89.96800465,77.7259636,30.49
201,374,1000000,0,2042,0,0,0,0,24776,5402,0,0,1921,3945,3.71,1.7,10.45,16.45,20.27,25.94,28.02,25.43,23.61,17.41,11.85,9,0.69,-1.22,7.62,12.79,16.84,21.77,23.54,20.99,19.09,12.84,8.46,6.25,5.9,5.8,9.9,17.6,20,24.9,27.2,28.2,25.6,19.1,14.4,11.1,5.6,7.2,5.2,6.9,5.9,5.3,4.8,4.1,3.9,4.8,5.6,6.5,88.70136332,77.24470982,30.49
201,374,1000000,0,13611,0,0,0,0,165170,36015,0,0,12805,26298,3.71,1.7,10.45,16.45,20.27,25.94,28.02,25.43,23.61,17.41,11.85,9,0.69,-1.22,7.62,12.79,16.84,21.77,23.54,20.99,19.09,12.84,8.46,6.25,5.9,5.8,9.9,17.6,20,24.9,27.2,28.2,25.6,19.1,14.4,11.1,5.6,7.2,5.2,6.9,5.9,5.3,4.8,4.1,3.9,4.8,5.6,6.5,88.70136332,77.24470982,30.49
207,10,1000000,1841886,2288080,1718703,1614100,2926576,3524634,0,3613449,3355550,3335628,2978908,1526329,12.86,11.69,19.26,23.18,25.29,28.31,29.02,28.16,26.59,22.79,19.7,20.06,9.97,8.86,16,19.35,20.33,23.16,24.31,24.36,23.37,19.38,18.62,17.34,15.8,15.3,19,23.4,27,30.4,30,31.9,29.4,26.5,25.8,22.9,7.6,8.5,7.2,6.9,8,6.4,6.7,5.8,6.6,7.6,7.4,7.3,87.26568437,79.35336055,30.49
271,10,1000000,0,0,0,41525,20240,21427,36497,0,27143,0,0,0,9.8,12.73,14.5,14.47,15.62,20.16,21.78,21.95,20.69,18.9,10.67,8.59,7.67,10.25,11.01,10.28,11.64,14.89,16.16,16.17,14.48,14.24,7.62,7.13,8.8,7.3,9.1,17,17.7,19.8,21,20.9,19.8,18,13.7,10,3.4,5.5,5.1,7.8,10.6,9.2,10.4,8.9,7,5,5.1,5.8,82.70034866,67.0886141,30.49
298,460,1000000,5177857,2807605,3010788,4302986,5168602,4767706,4404995,4975562,4373777,2684852,1755059,3171025,7.85,9.03,14.25,20.39,23.51,27.65,29.81,30.02,27.83,22.58,15.5,12.98,4.79,6.15,11.8,17.31,20.48,23.28,24.04,22.81,21.35,16.62,12.73,10.39,9.7,12,15.3,21.3,23.6,27.6,29.3,29.3,27.5,23.2,18.2,14.1,6.6,7.6,6.5,7.2,7.1,5.3,7.1,5.6,4.9,6.3,6.5,6.3,90.29513098,78.5727703,30.49
331,1110,1000000,0,0,0,13624,8153,256575,246523,191135,191617,161274,0,0,14.85,16.54,19.16,18.54,18.32,24.44,25.24,27.18,26.82,23.66,14.96,12.08,9.41,11.31,12.14,11.45,13.2,17.17,18.48,18.76,18.83,16.63,8.35,6.74,14.6,15.5,15.9,16.7,16.9,19,20,20.4,20.3,18.8,16.3,14.1,4.2,4.2,5.1,6.5,6.7,6.3,6.7,6,5,4.9,4.7,4.3,91.55720386,72.71795745,30.49
358,1110,1000000,1107269,1182536,1136962,717645,891455,1376749,1580083,1546072,1506189,1206811,1406062,1043069,14.84,16.52,19.11,18.53,18.36,24.18,25.14,26.95,26.73,23.7,15.13,12.34,9.6,11.48,12.32,11.64,13.35,17.25,18.62,18.89,18.99,16.89,8.6,7.01,14.2,15.7,15.8,16.7,17.1,19.1,20.7,20.7,20.7,18.6,16.3,13.9,4.2,4.1,4.8,6,6,5.7,6,5.4,4.5,4.9,4.9,4.7,93.26854717,72.72050387,30.49
371,450,1000000,5671560,5119993,5581741,5314568,1292750,191052,3968526,5670451,5571761,5770967,5437261,5810104,1.94,6.48,9.97,10.84,17.73,24.05,25.7,23.77,17.22,14.08,3.88,1.87,0.94,4.22,6.24,6.09,11.61,14.64,15.4,14.51,11.07,9.96,2,1.1,4.3,5.5,6.9,9.5,13.2,17.7,20.1,20,17.8,15.1,10.8,5.9,4.4,5.6,6.7,7.4,7,6.9,7.3,6.7,5.8,6,6.8,7,92.46742551,66.82453838,30.49
377,470,1000000,98318,70533,75811,96343,96589,101795,107539,115800,119078,124590,90957,118178,15.56,16.69,19.22,17.86,17.27,21.55,22.89,24.93,25.56,23.23,15.84,12.99,10.01,11.73,12.65,11.9,13.16,16.63,18.1,18.93,19.13,17.37,8.84,7.26,15.6,16.1,16.9,17,16.8,18.5,19.3,20.6,21,20.2,16.9,15.2,2.7,2.9,3.8,4.4,4.5,4.5,4.5,4.1,3.5,3.6,3.8,4.1,80.61977058,70.38175943,30.49
384,510,1000000,824954,919156,873839,258612,948385,788333,986981,1016328,1029740,967556,801415,164294,-5.07,-9.6,2.22,10.37,16.6,20.6,22.8,22.11,20.85,12.8,7.29,4.37,-5.85,-9.94,-0.19,6.36,13.09,17.14,18.6,18.11,16.95,9.34,4.85,3.14,3.3,1.9,6,12.8,17.9,21.1,24.5,25.1,22.3,17.9,12,7.7,10,10.5,9.5,10.7,10.1,8.1,7,7.2,7.4,10.3,11,11.4,84.66680206,76,30.49
384,510,1000000,2749848,3063854,2912797,862041,3161283,2627778,3289938,3387760,3432466,3225187,2671382,547646,-5.07,-9.6,2.22,10.37,16.6,20.6,22.8,22.11,20.85,12.8,7.29,4.37,-5.85,-9.94,-0.19,6.36,13.09,17.14,18.6,18.11,16.95,9.34,4.85,3.14,3.3,1.9,6,12.8,17.9,21.1,24.5,25.1,22.3,17.9,12,7.7,10,10.5,9.5,10.7,10.1,8.1,7,7.2,7.4,10.3,11,11.4,84.66680206,76,30.49
389,-50,1000000,207513,104092,203806,144075,290453,500783,486861,542101,524948,387396,140677,114324,14,18.08,20.87,21.57,23.31,31.25,31.96,35.26,32.01,26.75,16.34,12.47,8.21,10.95,12.15,12.07,14.37,19.03,20.14,21.21,20.88,16.72,8.36,6.28,13.1,15.9,15.3,17.2,17.3,19.2,22.5,21.6,21.9,18.6,15.6,12.4,4.3,5.7,6.2,8.6,9.4,8.5,7.9,6.9,5.8,6.4,7,6.9,95.55687402,78.66373602,30.49
408,920,1000000,109,0,42984,197510,37148,168289,159771,323598,343379,584188,453572,79566,15.47,16.73,19.37,18,17.46,22.17,23.35,25.45,25.94,23.24,15.65,12.73,9.77,11.54,12.49,11.71,13.09,16.72,18.12,18.9,19.01,17.19,8.5,6.91,15.5,16.1,16.9,17,16.5,18.4,19.3,20.8,21.2,20.5,16.7,15.1,3.6,3.6,4.7,5.4,5.5,5.5,5.5,5,4.3,4.5,4.8,5.2,80.61144929,70.38132411,30.49
