"Plant.Code","Elevation","Pond_Area","percentAllocation","CD_january","CD_february","CD_march","CD_april","CD_may","CD_june","CD_july","CD_august","CD_september","CD_october","CD_november","CD_december","DB_jan","DB_feb","DB_mar","DB_apr","DB_may","DB_jun","DB_jul","DB_aug","DB_sep","DB_oct","DB_nov","DB_dec","WB_jan","WB_feb","WB_mar","WB_apr","WB_may","WB_jun","WB_jul","WB_aug","WB_sep","WB_oct","WB_nov","WB_dec","WT_jan","WT_feb","WT_mar","WT_apr","WT_may","WT_jun","WT_jul","WT_aug","WT_sep","WT_oct","WT_nov","WT_dec","WS_jan","WS_feb","WS_mar","WS_apr","WS_may","WS_jun","WS_jul","WS_aug","WS_sep","WS_oct","WS_nov","WS_dec","Tdb","Twb","nwT"
3,NA,NA,100,1138672,1353406,2748438,2565238,2306612,2493420,2408762,2252016,1724408,1374602,1816082,2426644,9.698391,11.189291,15.654845,18.068342,23.1242,27.55334,27.111296,26.064528,25.14167,19.317743,13.360004,8.870974,6.29636,7.4344096,11.579476,14.1531,19.815,23.013678,22.816866,22.248375,21.578678,16.075289,9.928817,5.8976345,12.4794483870968,11.369875,15.1829322580645,18.37238,22.2163161290323,26.1398,28.8604096774194,28.0682903225806,26.8427333333333,22.9422677419355,34.4888633333333,10.9795193548387,9.214734,10.042247,9.662122,10.603079,9.2508135,6.472203,7.7715497,7.0499578,7.337151,8.420983,7.2103915,9.597178,NA,NA,30.49
26,NA,NA,100,2612873,3435390,107018,2063179,1968542,2072766,1666166,2624925,2478669,2540103,2498552,2637109,7.0500073,8.975009,13.7693615,16.685005,21.688717,25.923338,25.382267,25.396772,23.198343,16.56936,11.276675,6.8548417,4.44,4.71555,9.268019,12.394532,18.313711,21.765987,21.180822,21.692585,19.847971,13.26621,8.010184,4.44,7.73185806451613,7.46293571428571,13.7416741935484,17.22074,21.2732096774194,24.73102,26.9541419354839,27.0588935483871,25.9698866666667,19.0528580645161,18.0417066666667,7.86418709677419,9.618827,10.162083,9.698202,10.819315,9.777576,6.5169415,7.843709,7.215924,6.7555475,8.55087,7.9112983,10.455873,NA,NA,30.49
51,245,0,100,2953810,2314920,3037651,279730,1115256,2729160,3105092,2946299,2962540,2350328,2861877,2442984,8.445167,11.835727,14.300002,17.611673,22.745167,27.571676,28.448393,26.898397,23.950008,16.95807,13.795005,6.4032335,4.999269,8.020705,10.377705,12.891786,19.292658,23.105082,23.910784,22.799152,20.561665,14.228819,10.471065,4.44,8.14806451612903,9.35321428571429,15.7370838709677,17.4932833333333,20.5598387096774,23.7191366666667,27.0606161290323,27.2395741935484,23.77765,18.9184161290323,15.1164166666667,9.56115483870968,9.243598,11.160715,10.35485,11.505309,8.00246,8.187187,7.4035378,7.526209,6.360356,9.0632,7.404259,8.788995,89.62050661,79,30.49
56,NA,NA,100,1593759,1228389,1477496,1136817,1297749,1551843,940189,758183,751168,1287318,1148864,1489942,9.341944,11.132149,15.664518,17.641674,22.88872,27.281675,26.822584,25.885489,24.450008,18.393553,12.4933405,8.324202,5.7538085,7.152855,11.222078,13.717205,19.52559,22.73981,22.536482,22.077469,20.984886,15.081951,9.113732,5.355428,10.9044129032258,9.74604285714286,14.2016580645161,17.2005766666667,22.5302451612903,25.2318966666667,28.0706548387097,27.4103096774194,26.0604533333333,22.8245677419355,19.1396366666667,9.1642,8.969393,9.6587715,9.149791,10.110952,8.911666,6.188857,7.511777,6.7613206,6.9419594,8.211721,7.0090675,9.193087,NA,NA,30.49
59,1870,0,100,353422,317650,260731,306929,293001,284368,309438,295527,286127,218274,277487,336472,4.44,4.44,4.44,9.673342,16.814524,20.74834,21.93388,21.30162,17.200006,6.667745,6.443336,4.44,4.44,4.44,4.44,5.5516243,11.952342,16.788927,17.554766,17.04895,13.30369,4.44,4.44,4.44,0,0,0.801312903225806,15.9112833333333,12.5564709677419,18.18864,21.9291903225806,22.5420483870968,20.11875,12.6333161290323,6.66650333333333,1.33554838709677,9.950759,9.459045,11.906275,12.176391,10.282691,8.090253,7.7499022,9.582747,8.6644,10.535249,8.932833,10.340418,88.02768518,74.99079651,30.49
60,1890,0,100,293353,259124,279163,138267,137883,242798,266862,277459,241319,214836,258252,298127,4.44,4.44,4.44,9.620007,16.811296,21.063337,22.006458,21.511297,17.170008,6.711299,6.3550057,4.44,4.44,4.44,4.44,5.4626274,11.983426,16.934902,17.611555,17.226757,13.351263,4.44,4.44,4.44,0,0,0.346829032258064,4.72767666666667,10.9840580645161,16.5686233333333,20.4906064516129,20.8463322580645,17.8104433333333,11.2003419354839,6.29648,1.74429677419355,9.654906,9.371165,11.697013,11.94524,9.84252,7.9187546,7.663311,9.366268,8.388512,10.066214,8.6867695,9.979623,88.07506764,75.00073091,30.49
87,6890,0,100,941705,796042,890938,894205,940327,892973,953609,985502,879249,958673,927984,970682,4.44,4.44,4.5919437,7.3583426,14.643557,16.678339,21.81936,19.811302,14.8633375,6.9532332,4.44,4.44,4.44,4.44,4.44,4.44,7.5267844,9.489671,14.186455,11.673199,9.546741,4.44,4.44,4.44,8.84120535,8.84120535,8.84120535,8.84120535,8.84120535,8.84120535,8.84120535,8.84120535,8.84120535,8.84120535,8.84120535,8.84120535,10.665135,11.656036,12.76497,13.443988,10.145589,9.641195,8.00246,8.096267,8.3959675,11.430023,8.313947,10.513601,79.3757684,62.51768759,30.49
108,2920,0,100,1329649,1271137,1322880,1207171,771778,1282355,1404041,1310238,1293904,1062311,1244034,1232637,4.44,4.44,6.859684,10.963343,16.791943,22.945011,24.816137,23.559679,18.553339,8.016135,7.1666727,4.44,4.44,4.44,4.44,6.383488,12.120176,17.292019,18.820627,18.052448,14.07778,4.754658,4.44,4.44,11.7609988916667,11.7609988916667,11.7609988916667,11.7609988916667,11.7609988916667,11.7609988916667,11.7609988916667,11.7609988916667,11.7609988916667,11.7609988916667,11.7609988916667,11.7609988916667,10.03735,10.026268,11.646502,12.474648,10.686784,9.708304,8.760132,10.607409,8.783704,10.152804,9.14907,9.979623,88.30561281,70.90968836,30.49
113,NA,NA,100,3610687,3326851,3294482,2057544,2488729,3315554,3484619,3853668,3362432,3256654,3521879,3667239,4.44,5.6107187,8.76775,12.495007,19.65162,21.280005,26.743555,24.677425,20.366674,12.448391,7.5400057,4.44,4.44,4.44,4.44,4.753743,10.864108,11.642689,17.233658,14.361293,12.316354,5.4344387,4.44,4.44,13.451924575,13.451924575,13.451924575,13.451924575,13.451924575,13.451924575,13.451924575,13.451924575,13.451924575,13.451924575,13.451924575,13.451924575,4.387282,6.9984155,8.31996,9.767956,7.18706,8.045515,6.5304112,6.5231953,5.8980556,7.648879,5.0181937,5.007851,NA,NA,30.49
116,1180,0,100,0,0,0,0,75062,36274,169050,127697,67852,13408,7260,5155,13.764525,14.682143,17.937107,20.59667,28.241938,29.630005,34.814518,33.072586,30.14334,21.388714,18.251673,10.709683,7.3882833,7.9345737,8.498643,9.649454,14.812974,15.448225,21.24928,18.625896,17.289034,10.663706,8.704944,5.1360636,22.7694085,22.7694085,22.7694085,22.7694085,22.7694085,22.7694085,22.7694085,22.7694085,22.7694085,22.7694085,22.7694085,22.7694085,3.102847,4.114365,4.6254067,5.8980556,5.5490456,6.4200077,5.9170575,5.3109202,5.100215,4.986203,3.3330352,3.4636436,96.68488697,75.06482624,30.49
