"Plant.Code","CD_january","CD_february","CD_march","CD_april","CD_may","CD_june","CD_july","CD_august","CD_september","CD_october","CD_november","CD_december","percentAllocation","cooling","DB_jan","DB_feb","DB_mar","DB_apr","DB_may","DB_jun","DB_jul","DB_aug","DB_sep","DB_oct","DB_nov","DB_dec","WB_jan","WB_feb","WB_mar","WB_apr","WB_may","WB_jun","WB_jul","WB_aug","WB_sep","WB_oct","WB_nov","WB_dec","WS_jan","WS_feb","WS_mar","WS_apr","WS_may","WS_jun","WS_jul","WS_aug","WS_sep","WS_oct","WS_nov","WS_dec","eia_id","WT_multsrc","t_source","WT_jan","WT_feb","WT_mar","WT_apr","WT_may","WT_jun","WT_jul","WT_aug","WT_sep","WT_oct","WT_nov","WT_dec","nsegment_v","prms_id","water_source_aeg","nsegment_v11_new","cmplxcoo_flg","coolty_1","coolty_2","coolty_3"
3,1533670,1401306,936808,571714,1175142,1438595,1499685,1495270,716248,849482,1361800,1299304,100,"tower",8.361297,7.560718,16.924196,20.540007,23.209679,26.46001,28.314518,27.008068,24.425003,19.841942,16.553339,14.841941,4.988474,4.2072535,12.954469,16.756763,19.329525,22.690054,24.455976,22.878708,20.534565,16.040854,12.97095,11.58017,9.0632,9.986323,8.702404,8.448163,7.280867,6.531854,6.7108088,6.5953546,6.039728,8.796211,8.463076,9.474508,3,"","sntemp",9.93110322580645,9.07777142857143,12.7147225806452,18.96403,21.8540064516129,25.1820133333333,28.2719129032258,29.7149290322581,27.5536766666667,23.5591258064516,36.9328933333333,17.7040935483871,8721,8782,"sw","8721",1,"river_once_through_fresh","tower_recirculating",""
3,405419,1087397,2324898,2597023,1571796,2743434,3137649,2800006,2643223,1802710,1692891,1908658,100,"river",8.361297,7.560718,16.924196,20.540007,23.209679,26.46001,28.314518,27.008068,24.425003,19.841942,16.553339,14.841941,4.988474,4.2072535,12.954469,16.756763,19.329525,22.690054,24.455976,22.878708,20.534565,16.040854,12.97095,11.58017,9.0632,9.986323,8.702404,8.448163,7.280867,6.531854,6.7108088,6.5953546,6.039728,8.796211,8.463076,9.474508,3,"","sntemp",9.93110322580645,9.07777142857143,12.7147225806452,18.96403,21.8540064516129,25.1820133333333,28.2719129032258,29.7149290322581,27.5536766666667,23.5591258064516,36.9328933333333,17.7040935483871,8721,8782,"sw","8721",1,"river_once_through_fresh","tower_recirculating",""
7,113055,180714,164246,113741,118987,125004,109714,115549,131400,121990,118424,108293,100,"river",5.2548475,2.8250067,12.28549,17.588339,22.03065,26.185007,28.025816,25.714523,22.930004,17.324196,13.951672,12.167749,1.9553388,-0.21547705,8.930949,14.006657,18.147589,22.106873,23.90115,21.74926,18.970911,13.545062,10.436109,9.442663,8.969393,10.122137,8.680757,9.424958,7.5334244,6.5989623,7.4251857,6.8623433,6.845025,8.291097,9.067048,9.027121,7,"","sntemp",5.78715161290323,4.93186428571429,12.0395387096774,20.0584666666667,20.2150967741935,25.0282666666667,28.2262741935484,28.3249161290323,25.67023,20.2182,20.28756,14.2558225806452,9614,9679,"sw","9614",0,"river_once_through_fresh","",""
8,2159396,2146686,1114027,2151974,2384965,3195320,3335002,3172447,2906381,53769,0,1270190,100,"river",5.045168,3.7232187,13.229038,17.905008,22.075815,26.423342,28.062906,25.98549,23.543333,17.832266,14.351669,12.333875,1.9439961,0.46788034,9.55725,14.233622,18.123907,22.317907,24.168509,21.953756,19.376942,13.945291,10.918301,9.33827,9.236382,10.313874,8.608597,9.096874,7.6055837,6.494572,7.201492,6.891207,6.539311,8.659109,8.694226,9.3879175,8,"","sntemp",5.76544193548387,4.32025,11.5314903225806,17.8422066666667,21.3254322580645,25.56526,29.8207,29.2225258064516,26.99223,22.4440032258065,24.2590033333333,14.8449516129032,8917,8980,"sw","8917",0,"river_once_through_fresh","",""
10,756871,887233,280420,924414,1174645,1262621,1341680,1309173,1160790,1139372,711435,956078,100,"river",6.3064585,5.448216,14.500008,19.16167,22.704847,26.373343,27.909685,27.05323,24.260004,18.653233,15.111673,13.051618,3.1515298,2.1855624,10.927085,15.406045,18.818398,22.54768,24.138641,22.647964,20.138632,14.745721,11.753929,10.12659,8.485927,9.491002,7.9086523,7.9187546,6.819048,6.0620975,6.458252,6.5448427,5.6669054,8.240585,7.732343,8.579734,10,"","sntemp",6.88492580645161,5.31466785714286,11.9545258064516,18.1047766666667,21.8540838709677,25.7549666666667,28.7484161290323,30.3571451612903,28.6621366666667,24.0820935483871,37.0662866666667,15.6083580645161,8611,8675,"sw","8611",0,"river_once_through_fresh","",""
26,2494496,2240407,2214199,928888,2779928,2780582,2673666,2248078,2461010,2757437,2422285,1718343,100,"tower",6.2193565,4.81072,13.99517,18.42167,22.482265,26.231676,27.708069,26.253231,23.620007,18.272587,15.136673,12.891938,2.932816,1.4511616,10.379057,14.867285,18.396278,22.242512,23.953707,22.16637,19.55424,14.315008,11.4620285,9.974007,9.308541,10.385776,8.6951885,9.007397,7.526209,6.442377,7.266435,6.9561505,6.934503,8.846723,9.290743,9.395133,26,"","sntemp",6.12973548387097,5.05420357142857,11.4833290322581,18.9229,20.6509709677419,25.3719333333333,28.2809935483871,28.3533225806452,25.9047133333333,20.5395903225806,20.5250433333333,14.5487548387097,9676,9750,"sw","9676",1,"river_once_through_fresh","tower_recirculating",""
26,914963,892835,638344,602573,833896,907017,990328,910546,611037,207769,386544,329752,100,"river",6.2193565,4.81072,13.99517,18.42167,22.482265,26.231676,27.708069,26.253231,23.620007,18.272587,15.136673,12.891938,2.932816,1.4511616,10.379057,14.867285,18.396278,22.242512,23.953707,22.16637,19.55424,14.315008,11.4620285,9.974007,9.308541,10.385776,8.6951885,9.007397,7.526209,6.442377,7.266435,6.9561505,6.934503,8.846723,9.290743,9.395133,26,"","sntemp",6.12973548387097,5.05420357142857,11.4833290322581,18.9229,20.6509709677419,25.3719333333333,28.2809935483871,28.3533225806452,25.9047133333333,20.5395903225806,20.5250433333333,14.5487548387097,9676,9750,"sw","9676",1,"river_once_through_fresh","tower_recirculating",""
46,3449609.608,3112234.1184,2708009.8128,2803699.6144,3307711.7968,3218119.6336,3285402.9504,3268641.8872,3120076.4384,3417032.6312,3085885.6616,3060929.3336,20,"tower",3.753234,1.3750021,11.412906,16.745005,21.035492,25.77834,27.203232,24.617748,22.028334,16.645163,13.355004,11.187105,0.77732456,-1.5073305,8.0598755,13.190525,17.214615,21.818127,23.485336,20.912083,18.391788,13.035275,10.099325,8.609683,7.677743,9.33921,7.208708,8.3214035,6.790184,5.6370797,5.751091,5.4768863,4.9063473,7.22314,7.3744335,8.096267,46,"","sntemp",4.00623548387097,1.86372857142857,6.90053870967742,15.9524666666667,21.0822870967742,23.9141333333333,29.7340451612903,27.193435483871,24.1163466666667,20.0294612903226,18.74118,14.6776290322581,16249,16274,"sw","16249",1,"lake_once_through_fresh","tower_recirculating",""
46,17248048.04,15561170.592,13540049.064,14018498.072,16538558.984,16090598.168,16427014.752,16343209.436,15600382.192,17085163.156,15429428.308,15304646.668,100,"tower",3.753234,1.3750021,11.412906,16.745005,21.035492,25.77834,27.203232,24.617748,22.028334,16.645163,13.355004,11.187105,0.77732456,-1.5073305,8.0598755,13.190525,17.214615,21.818127,23.485336,20.912083,18.391788,13.035275,10.099325,8.609683,7.677743,9.33921,7.208708,8.3214035,6.790184,5.6370797,5.751091,5.4768863,4.9063473,7.22314,7.3744335,8.096267,46,"","sntemp",4.00623548387097,1.86372857142857,6.90053870967742,15.9524666666667,21.0822870967742,23.9141333333333,29.7340451612903,27.193435483871,24.1163466666667,20.0294612903226,18.74118,14.6776290322581,16249,16274,"sw","16249",1,"lake_once_through_fresh","tower_recirculating",""
46,13798438.432,12448936.4736,10832039.2512,11214798.4576,13230847.1872,12872478.5344,13141611.8016,13074567.5488,12480305.7536,13668130.5248,12343542.6464,12243717.3344,80,"lake",3.753234,1.3750021,11.412906,16.745005,21.035492,25.77834,27.203232,24.617748,22.028334,16.645163,13.355004,11.187105,0.77732456,-1.5073305,8.0598755,13.190525,17.214615,21.818127,23.485336,20.912083,18.391788,13.035275,10.099325,8.609683,7.677743,9.33921,7.208708,8.3214035,6.790184,5.6370797,5.751091,5.4768863,4.9063473,7.22314,7.3744335,8.096267,46,"","sntemp",4.00623548387097,1.86372857142857,6.90053870967742,15.9524666666667,21.0822870967742,23.9141333333333,29.7340451612903,27.193435483871,24.1163466666667,20.0294612903226,18.74118,14.6776290322581,16249,16274,"sw","16249",1,"lake_once_through_fresh","tower_recirculating",""
46,17248048.04,15561170.592,13540049.064,14018498.072,16538558.984,16090598.168,16427014.752,16343209.436,15600382.192,17085163.156,15429428.308,15304646.668,100,"lake",3.753234,1.3750021,11.412906,16.745005,21.035492,25.77834,27.203232,24.617748,22.028334,16.645163,13.355004,11.187105,0.77732456,-1.5073305,8.0598755,13.190525,17.214615,21.818127,23.485336,20.912083,18.391788,13.035275,10.099325,8.609683,7.677743,9.33921,7.208708,8.3214035,6.790184,5.6370797,5.751091,5.4768863,4.9063473,7.22314,7.3744335,8.096267,46,"","sntemp",4.00623548387097,1.86372857142857,6.90053870967742,15.9524666666667,21.0822870967742,23.9141333333333,29.7340451612903,27.193435483871,24.1163466666667,20.0294612903226,18.74118,14.6776290322581,16249,16274,"sw","16249",1,"lake_once_through_fresh","tower_recirculating",""
47,1408686,1555138,1062897,165333,1619633,1294268,1529474,1262829,1874546,808353,1424345,1199426,100,"river",3.8371012,1.7625067,11.388715,17.023338,21.003227,26.015005,27.182264,24.806461,22.585009,17.09839,13.361675,11.396782,0.77672154,-1.2078764,8.099605,13.277192,17.351912,22.105387,23.677797,21.084055,18.754213,13.380587,10.082936,8.714508,10.592977,12.0634775,9.5683155,11.080292,9.503372,7.9933195,8.35604,7.3313785,6.859938,9.979623,9.678478,11.372295,47,"","sntemp",3.96304193548387,1.74257857142857,6.51793225806452,15.7530033333333,21.1625,23.6895766666667,29.8056451612903,27.1092838709677,23.9735533333333,19.9864258064516,18.3428066666667,14.5641387096774,16917,16275,"sw","16917",0,"river_once_through_fresh","",""
50,997027,1386955,295819,262221,1720641,1551713,1698138,1611641,1073631,0,0,0,100,"river",2.9225848,0.81786454,11.006461,15.991669,21.193558,25.198338,26.364523,24.396782,21.940004,15.951619,12.84501,11.159689,0.3527113,-1.9458209,7.913923,12.595626,17.474066,21.52083,22.97911,20.657383,18.419445,12.782202,9.582828,8.606704,10.224963,12.231249,10.00127,11.25179,9.012689,7.396803,7.518993,7.114901,6.464746,9.344622,10.178061,11.451671,50,"","sntemp",5.53220322580645,2.6415,7.97800322580645,18.1168933333333,20.2983419354839,24.6011666666667,32.237935483871,28.1623387096774,25.3287233333333,22.7166483870968,21.0138433333333,17.7264258064516,16310,16331,"sw","16310",0,"river_once_through_fresh","",""
51,2697560,2072057,1996864,93822,2154551,2552265,2681915,2422477,2595208,1822137,2452972,2224857,100,"tower",6.6338778,6.889295,13.641947,19.38834,22.572586,26.82001,29.18388,28.016134,25.811668,20.088718,15.14001,12.377424,3.28019,3.6225927,10.584853,15.526663,19.650408,23.519543,24.816576,22.938145,20.894697,15.2272005,11.841095,9.261548,8.615813,9.650783,8.255016,9.514437,8.731268,6.9494157,7.526209,6.21291,5.9949894,8.471495,8.425794,9.106496,51,"","sntemp",6.47714838709677,6.47823571428571,12.7493193548387,17.8714566666667,20.3265516129032,23.9744933333333,26.9738967741935,27.4515483870968,23.6548266666667,19.1101193548387,17.2196366666667,13.2663451612903,35680,35705,"sw","35680",0,"tower_recirculating","",""
56,725248,871166,768416,295803,732605,1306453,1446288,1364314,693303,738978,597555,730824,100,"tower",7.9322658,7.1696496,16.15162,20.48334,22.659687,26.318336,28.180653,26.912905,24.441671,19.285488,16.01834,14.519358,4.495741,3.750916,12.344957,16.460716,18.770529,22.434294,24.299355,22.65899,20.366203,15.373638,12.334366,11.186878,8.724051,9.674749,8.449846,8.224469,6.8623433,6.427464,6.624218,6.451036,5.9949894,8.536438,8.231926,9.084847,56,"","sntemp",8.15705483870968,7.47574285714286,13.3737741935484,18.5231966666667,21.6081193548387,25.0321066666667,27.6672483870968,28.9847129032258,26.6411966666667,23.2871677419355,21.8653333333333,16.2065516129032,9364,9428,"sw","9364",0,"tower_recirculating","",""
59,312211,293206,297757,127825,276848,307135,326931,276419,276712,238609,211266,278219,100,"tower",-2.4177353,-4.880348,6.424199,11.150009,15.074202,22.071672,24.079037,21.993555,21.323338,13.166136,5.6700053,0.18710622,-5.0484953,-7.108614,1.9958059,6.5686746,11.004142,17.822786,19.672577,17.391771,16.233828,8.14975,2.4847069,-1.8544815,10.015702,10.178061,9.936327,11.520223,11.213545,9.641195,8.796211,10.138372,11.4903965,9.597178,10.692556,9.994055,59,"","sntemp",0,0,0.188774193548387,17.7631866666667,11.7391064516129,16.49443,21.4054612903226,22.9025709677419,21.8616966666667,18.0549741935484,10.6752966666667,2.61993870967742,25787,25809,"sw","25787",0,"tower_recirculating","",""
60,753244,722143,238611,591944,859002,754378,939485,888124,766624,461658,337599,321347,100,"tower",-2.1419313,-4.526778,6.5048456,11.196671,15.091944,22.183342,24.11291,22.116133,21.66,13.467745,5.8666716,0.38710368,-4.9086237,-6.8221664,2.0353367,6.5604134,10.982529,17.861435,19.865238,17.476288,16.210438,8.048159,2.5726326,-1.8247656,9.503372,9.738662,9.452861,11.207051,10.802238,9.424958,8.341608,9.676554,11.1995945,9.308542,10.401754,9.755929,60,"","sntemp",0,0,0.0897258064516129,7.0991,11.5903193548387,16.3185633333333,20.6710032258065,21.7365935483871,19.3234433333333,16.5311193548387,10.09826,3.21973870967742,27609,27645,"sw","27609",0,"tower_recirculating","",""
